date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,93.46,94.69,92.71,94.3,9058000,46.5352870878,47.1477245275,46.1618496245,46.9535370466,9058000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-03,94.61,94.84,93.46,93.98,10479200,47.1078911981,47.2224120202,46.5352870878,46.794203729,10479200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-04,93.35,95.21,93.2,94.05,13103800,46.4805162598,47.4066411687,46.4058287672,46.8290578922,13103800,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-07,92.13,93.74,91.15,93.74,12892200,45.8730579863,46.6747037407,45.385099701,46.6747037407,12892200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-08,90.95,93.38,90.58,92.62,10987700,45.2855163774,46.4954537584,45.1012872289,46.1170371289,10987700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-09,92.57,92.75,90.55,90.73,12448200,46.0921412981,46.1817662892,45.0863497304,45.1759747215,12448200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-10,91.9,92.1,90.14,91.76,13786500,45.7585371642,45.8581204877,44.8822039171,45.6888288377,13786500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-11,90.67,92.57,90.23,91.73,10575000,45.1460997245,46.0921412981,44.9270164127,45.6738913392,10575000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-14,90.91,91.85,90.41,91.19,9968600,45.2655997127,45.7336413333,45.0166414039,45.4050163657,9968600,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-15,88.27,90.05,88.15,89.99,13693400,43.9510998421,44.8373914215,43.8913498479,44.8075164245,13693400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-16,86.25,88.38,85.21,87.77,15709400,42.9453082744,44.00587067,42.427474992,43.7021415332,15709400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-17,82.75,87.17,82.1,86.6,18910400,41.2026001125,43.4033915626,40.878954311,43.1195790905,18910400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-18,83.46,84.98,80.88,82.98,18869200,41.556120911,42.3129541699,40.2714960374,41.3171209346,18869200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-22,81.25,82.37,76.4,78.54,20897900,40.455725186,41.0133917978,38.0408295903,39.1063711521,20897900,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-23,81.45,81.48,76.4,78.64,20405300,40.5553085095,40.5702460081,38.0408295903,39.1561628139,20405300,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-24,83.67,83.69,81.14,82.14,13949600,41.6606834008,41.6706417331,40.400954358,40.8988709757,13949600,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-25,81.82,85.0,81.44,84.47,14050100,40.7395376581,42.3229125023,40.5503293433,42.0590166949,14050100,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-28,82.86,83.26,80.23,81.04,9749400,41.2573709404,41.4565375875,39.947850236,40.3511626963,9749400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-29,82.6,83.72,81.9,83.21,9187700,41.1279126198,41.6855792316,40.7793709875,41.4316417566,9187700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-30,83.23,85.23,81.93,82.55,9415400,41.441600089,42.4374333243,40.794308486,41.103016789,9415400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-01-31,83.25,84.5,81.24,81.92,12634300,41.4515584213,42.0739541934,40.4507460198,40.7893293198,12634300,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-01,82.49,84.93,81.53,84.93,16063300,41.0731417919,42.288058339,40.5951418389,42.288058339,16063300,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-04,82.02,82.98,81.01,82.75,10299100,40.8391209816,41.3171209346,40.3362251977,41.2026001125,10299100,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-05,79.74,80.99,79.61,80.73,15682500,39.7038710933,40.3262668654,39.639141933,40.1968085448,15682500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-06,77.51,80.55,77.24,80.13,15108200,38.5935170359,40.1071835536,38.4590795491,39.8980585742,15108200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-07,78.74,79.24,76.51,76.55,12570900,39.2059544756,39.4549127845,38.0956004182,38.1155170829,12570900,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-08,79.26,79.48,78.39,79.29,8281700,39.4648711168,39.5744127727,39.0316836594,39.4798086153,8281700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-11,80.43,80.47,78.51,80.22,17626800,40.0474335595,40.0673502242,39.0914336536,39.9428710698,17626800,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-12,81.12,82.33,80.41,80.68,12330400,40.3909960257,40.9934751331,40.0374752271,40.1719127139,12330400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-13,82.12,82.29,80.29,81.01,12149400,41.1777042816,41.2629479461,40.2600813051,40.6211132958,12149400,0.58,1.0,hdividend,CVX,Tiingo,daily
2008-02-14,82.84,83.57,82.6,82.63,5369000,41.5387362724,41.9047825964,41.4183922755,41.4334352751,5369000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-15,83.6,83.69,81.7,82.85,13525400,41.919825596,41.9649545948,40.967102287,41.5437506056,13525400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-19,84.83,85.49,84.25,84.49,12002500,42.5365885802,42.8675345718,42.2457572543,42.3661012513,12002500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-20,86.34,86.86,83.7,83.71,13217100,43.2937528942,43.5544982209,41.969968928,41.9749832613,13217100,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-21,84.78,86.51,84.33,85.57,12189400,42.5115169142,43.3789965587,42.28587192,42.9076492374,12189400,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-22,85.42,85.74,83.69,85.42,12154700,42.8324342394,42.9928929019,41.9649545948,42.8324342394,12154700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-25,87.18,87.59,85.31,87.45,11813500,43.7149568835,43.9205445449,42.7772765741,43.85034388,11813500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-26,88.12,88.4,86.29,86.75,12672600,44.1863042048,44.3267055345,43.2686812282,43.4993405557,12672600,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-27,88.22,88.94,87.43,87.9,9731900,44.2364475368,44.5974795276,43.8403152136,44.0759888743,9731900,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-28,89.02,89.29,87.77,88.22,8990300,44.6375941932,44.7729811898,44.0108025426,44.2364475368,8990300,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-02-29,86.66,88.6,85.98,88.47,12983700,43.4542115568,44.4269921986,43.1132368988,44.361805867,12983700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-03,87.2,87.92,85.84,87.07,9859700,43.7249855499,44.0860175407,43.043036234,43.6597992182,9859700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-04,86.73,87.7,85.06,86.66,13698300,43.4893118892,43.9757022102,42.651918244,43.4542115568,13698300,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-05,88.79,88.86,86.67,87.26,16220500,44.5222645295,44.557364862,43.45922589,43.7550715491,16220500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-06,87.8,89.0,87.18,88.7,14296500,44.0258455422,44.6275655268,43.7149568835,44.4771355307,14296500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-07,85.26,87.49,84.65,86.85,15910600,42.7522049081,43.8704012128,42.4463305825,43.5494838877,15910600,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-10,84.73,85.97,84.35,85.55,11854100,42.4864452482,43.1082225656,42.2959005864,42.897620571,11854100,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-11,88.16,88.33,85.7,85.99,13477100,44.2063615376,44.2916052021,42.9728355691,43.1182512321,13477100,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-12,86.73,88.58,86.56,87.5,10956900,43.4893118892,44.4169635322,43.4040682248,43.875415546,10956900,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-13,87.04,87.61,85.41,86.0,10964800,43.6447562186,43.9305732113,42.8274199061,43.1232655653,10964800,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-14,85.34,87.64,84.09,87.51,15842000,42.7923195737,43.9456162109,42.1655279231,43.8804298793,15842000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-17,84.19,84.99,82.44,83.47,15926800,42.2156712551,42.6168179115,41.3381629442,41.8546392643,15926800,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-18,86.12,86.12,84.53,85.295,13429600,43.1834375637,43.1834375637,42.3861585841,42.7697550743,13429600,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-19,81.89,86.84,81.8,86.84,14797100,41.0623746179,43.5444695545,41.017245619,43.5444695545,14797100,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-20,83.21,84.07,80.87,81.7,18373200,41.724266601,42.1554992566,40.550912631,40.967102287,18373200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-24,84.01,84.79,82.92,83.38,9971900,42.1254132574,42.5165312474,41.578850938,41.8095102655,9971900,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-25,84.54,84.84,83.71,84.55,12123000,42.3911729173,42.5416029134,41.9749832613,42.3961872505,12123000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-26,84.96,85.69,84.48,84.62,11674800,42.6017749119,42.9678212359,42.3610869181,42.4312875829,11674800,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-27,84.4,86.95,84.27,85.35,9148200,42.3209722524,43.5996272198,42.2557859207,42.7973339069,9148200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-28,84.5,85.58,83.92,84.3,7522200,42.3711155845,42.9126635706,42.0802842586,42.2708289204,7522200,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-03-31,85.36,85.93,84.32,84.95,10192000,42.8023482401,43.0881652328,42.2808575868,42.5967605787,10192000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-04-01,86.74,86.89,84.57,85.32,11069000,43.4943262224,43.5695412205,42.4062159169,42.7822909073,11069000,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-04-02,87.51,88.19,85.42,86.67,10681700,43.8804298793,44.2214045372,42.8324342394,43.45922589,10681700,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-04-03,87.72,88.8,86.76,87.0,9823600,43.9857308766,44.5272788627,43.5043548889,43.6246988858,9823600,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-04-04,88.05,88.66,87.7,88.1,9750500,44.1512038723,44.4570781979,43.9757022102,44.1762755384,9750500,0.0,1.0,hdividend,CVX,Tiingo,daily
2008-04-07,88.27,89.3673,88.12,88.46,8328300,44.2615192029,44.8117419855,44.1863042048,44.3567915338,8328300,0.0,1.0,hdividend,CVX,Tiingo,daily
