date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,104.69,108.99,104.17,108.99,9503500,55.7171216683,58.005627,55.4403721863,58.005627,9940661,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-03,104.9,105.57,103.98,104.41,7528900,55.8288858822,56.1854669455,55.3392521833,55.5681027164,7875229,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-04,101.13,103.95,100.48,103.95,11034600,53.8224521379,55.323285867,53.4765152854,55.323285867,11542191,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-07,100.05,101.0,99.03,100.355,12650400,53.2476647522,53.7532647674,52.7048099991,53.4099889676,13232318,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-08,97.59,100.38,97.17,100.05,9434400,51.9384268183,53.4232942312,51.7148983906,53.2476647522,9868382,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-09,98.31,99.15,97.16,98.08,10922100,52.3216184087,52.7686752642,51.7095762851,52.199209984,11424516,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-10,99.92,100.86,97.15,97.39,10634700,53.1784773817,53.6787552915,51.7042541797,51.8319847098,11123896,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-11,97.67,99.46,97.04,99.25,8959900,51.9810036617,52.9336605323,51.6457110201,52.8218963184,9372055,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-14,102.93,105.59,101.33,105.0,18009400,54.7804311139,56.1961111563,53.9288942463,55.8821069364,18837832,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-15,101.83,104.64,101.23,102.04,11629500,54.1949995174,55.6905111412,53.8756731921,54.3067637313,12164457,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-16,101.63,102.86,100.14,100.48,12681700,54.088557409,54.743176376,53.295563701,53.4765152854,13265058,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-17,101.1,103.45,100.05,102.67,11934000,53.8064858216,55.0571805959,53.2476647522,54.6420563729,12482964,0.0,1.0,hdividend,IBM,Tiingo,daily
2008-01-18,103.4,106.72,102.5,106.51,23871700,55.0305700688,56.797509069,54.5515805807,56.6857448552,24969798,0.0,1.0,hdividend,IBM,Tiingo,daily
