date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,61.09,61.58,60.73,61.5,7726900,17.6771970003,17.8189849612,17.5730262536,17.7958359064,15453800,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-03,61.73,62.1,61.07,61.11,6951300,17.862389439,17.9694538177,17.6714097366,17.6829842641,13902600,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-04,61.85,62.71,61.67,61.68,9013700,17.8971130213,18.1459653608,17.8450276479,17.8479212798,18027400,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-07,63.31,63.44,61.9,62.1,11891000,18.3195832721,18.3572004862,17.9115811806,17.9694538177,23782000,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-08,63.57,64.4,63.31,63.5,10441600,18.3948177003,18.6349891443,18.3195832721,18.3745622773,20883200,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-09,65.27,65.31,63.6,63.62,17974800,18.8867351156,18.898309643,18.4034985959,18.4092858596,35949600,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-10,65.56,65.59,64.71,64.88,14472100,18.9706504394,18.979331335,18.7246917317,18.7738834733,28944200,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-11,63.77,65.38,63.46,65.38,16073900,18.4526903374,18.918565066,18.3629877499,18.918565066,32147800,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-14,64.3,64.52,63.75,63.75,11465700,18.6060528257,18.6697127265,18.4469030737,18.4469030737,22931400,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-15,63.61,64.2,63.56,63.87,11499700,18.4063922277,18.5771165072,18.3919240685,18.481626656,22999400,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-16,62.65,63.85,62.48,63.57,12667000,18.1286035697,18.4758393922,18.0794118281,18.3948177003,25334000,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-17,62.04,63.31,61.9,63.17,18636500,17.9520920265,18.3195832721,17.9115811806,18.2790724261,37273000,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-18,60.74,62.45,60.16,62.34,16879100,17.5759198854,18.0707309326,17.4080892379,18.0389009822,33758200,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-22,58.79,59.4,57.0,58.65,18684900,17.0116616738,17.1881732169,16.4937015718,16.9711508278,37369800,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-23,58.87,58.94,56.49,57.76,16128700,17.0348107286,17.0550661516,16.3461263472,16.7136175927,32257400,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-24,59.88,60.02,58.94,59.16,15350300,17.3270675459,17.3675783919,17.0550661516,17.1187260524,30700600,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-25,58.41,60.34,58.23,60.25,12963200,16.9017036633,17.4601746112,16.8496182899,17.4341319246,25926400,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-28,59.41,59.42,58.05,58.26,9170700,17.1910668488,17.1939604806,16.7975329165,16.8582991855,18341400,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-29,58.55,59.66,58.28,59.42,13416800,16.9422145093,17.2634076451,16.8640864492,17.1939604806,26833600,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-30,57.77,58.84,57.56,58.65,11533400,16.7165112246,17.026129833,16.6557449556,16.9711508278,23066800,0.0,1.0,hdividend,KO,Tiingo,daily
2008-01-31,59.0,59.36,57.24,57.3,12020900,17.0724279427,17.1765986895,16.5631487363,16.5805105274,24041800,0.0,1.0,hdividend,KO,Tiingo,daily
2008-02-01,59.26,59.97,58.51,59.25,8260100,17.1476623709,17.3531102326,16.9306399818,17.1447687391,16520200,0.0,1.0,hdividend,KO,Tiingo,daily
2008-02-04,58.63,59.45,58.47,59.38,7657900,16.9653635641,17.2026413762,16.9190654544,17.1823859532,15315800,0.0,1.0,hdividend,KO,Tiingo,daily
2008-02-05,57.4,58.5,57.31,58.48,12354800,16.609446846,16.92774635,16.5834041593,16.9219590863,24709600,0.0,1.0,hdividend,KO,Tiingo,daily
2008-02-06,57.71,58.19,57.57,57.9,8408200,16.6991494335,16.8380437625,16.6586385875,16.7541284387,16816400,0.0,1.0,hdividend,KO,Tiingo,daily
