date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,58.1,59.48,57.89,58.5,7858300,35.4561215231,36.2982806918,35.327966867,35.70022563,7858300,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-03,57.93,58.8,57.74,58.38,6514700,35.3523772777,35.8833037102,35.2364278269,35.6269943979,6514700,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-04,57.05,57.47,56.43,57.32,9687500,34.8153482426,35.0716575548,34.4369868769,34.9801185147,9687500,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-07,58.03,58.25,56.87,57.75,10784500,35.4134033044,35.5476605632,34.7055013945,35.2425304296,10784500,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-08,57.08,58.64,56.96,58.44,10080800,34.8336560506,35.7856620674,34.7604248185,35.663610014,10080800,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-09,57.47,57.53,56.1,57.0,11600400,35.0716575548,35.1082731708,34.2356009888,34.7848352292,11600400,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-10,58.17,58.49,56.96,57.635,10767000,35.4988397418,35.6941230273,34.7604248185,35.1723504989,10767000,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-11,54.32,56.9,53.32,56.76,33215200,33.1493377132,34.7238092025,32.539077446,34.6383727651,33215200,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-14,54.96,55.31,53.72,54.89,12932700,33.5399042842,33.7534953777,32.7831815529,33.4971860655,12932700,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-15,53.76,55.1925,53.44,54.55,10107000,32.8075919636,33.6817897963,32.6123086781,33.2896975746,10107000,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-16,52.41,53.83,52.22,53.42,13246000,31.9837406029,32.8503101823,31.8677911521,32.6001034727,13246000,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-17,51.98,53.04,51.92,52.73,12878400,31.721328688,32.3682045712,31.684713072,32.1790238884,12878400,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-18,52.4,53.29,52.26,52.61,11754400,31.9776380002,32.520769638,31.8922015628,32.1057926563,11754400,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-22,52.45,52.616,49.37,49.93,16883500,32.0081510136,32.1094542179,30.1285493907,30.4702951403,16883500,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-23,53.01,53.05,50.89,51.56,19158300,32.3498967632,32.3743071739,31.0561449968,31.4650193758,19158300,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-24,54.0,54.19,52.99,53.8,10305400,32.9540544277,33.0700038785,32.3376915578,32.8320023743,10305400,0.0,1.0,hdividend,MCD,Tiingo,daily
2008-01-25,54.1,54.75,53.99,54.46,12779800,33.0150804544,33.4117496281,32.947951825,33.2347741506,12779800,0.0,1.0,hdividend,MCD,Tiingo,daily
