date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,75.29,76.41,74.71,76.41,4899100,44.5252959904,45.1876459905,44.1822933117,45.1876459905,4899100,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-03,75.78,76.84,75.29,75.64,4728400,44.8150741154,45.4419410798,44.5252959904,44.7322803654,4728400,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-04,75.55,76.4,75.29,75.39,5493200,44.6790558118,45.1817321512,44.5252959904,44.5844343832,5493200,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-07,77.32,77.44,75.7,75.76,7584800,45.7258053656,45.796771437,44.7677634011,44.8032464368,7584800,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-08,77.94,78.99,77.17,77.85,7153800,46.0924634014,46.7134165265,45.6370977763,46.0392388478,7153800,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-09,78.74,79.32,77.98,78.13,9288800,46.5655705443,46.9085732229,46.1161187585,46.2048263478,9288800,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-10,79.57,79.79,78.22,78.64,7874900,47.0564192051,47.1865236694,46.2580509014,46.5064321514,7874900,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-11,77.78,79.17,76.69,78.92,8061200,45.9978419728,46.8198656336,45.3532334905,46.6720196515,8061200,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-14,76.92,78.39,76.65,77.86,7762500,45.4892517941,46.3585861693,45.3295781334,46.0451526871,7762500,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-15,74.83,76.55,74.71,76.0,9342100,44.2532593832,45.2704397405,44.1822933117,44.9451785797,9342100,0.0,1.0,hdividend,PEP,Tiingo,daily
2008-01-16,73.54,74.85,73.28,74.35,9636900,43.4903741152,44.2650870617,43.3366142937,43.9693950974,9636900,0.0,1.0,hdividend,PEP,Tiingo,daily
