date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,41.0,41.92,40.75,41.46,20293800,10.9998682677,11.24669458,10.9327959002,11.1232814239,26868991,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-03,41.39,41.73,41.0,41.03,18606200,11.104501161,11.1957195808,10.9998682677,11.0079169518,24634608,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-04,40.89,41.77,40.84,41.16,20658200,10.970356426,11.2064511596,10.9569419525,11.0427945829,27351456,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-07,41.43,41.94,40.98,41.19,26773400,11.1152327398,11.2520603694,10.9945024783,11.050843267,35447981,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-08,39.16,41.85,37.14,41.36,72780000,10.613531431,11.3426018996,10.0660510048,11.2097972417,96360720,0.4,1.0,hdividend,T,Tiingo,daily
2008-01-09,39.0,39.25,37.92,39.01,56144300,10.5701666447,10.6379241232,10.2774543377,10.5728769439,74335053,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-10,39.4,39.67,38.17,38.7,35734300,10.6785786103,10.7517566871,10.3452118162,10.4888576706,47312213,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-11,38.2,39.18,37.88,38.96,29822000,10.3533427136,10.6189520293,10.2666131411,10.5593254482,39484328,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-14,38.51,38.78,38.23,38.37,21751700,10.4373619869,10.5105400637,10.361473611,10.3994177989,28799250,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-15,37.63,38.1,37.46,37.88,28831300,10.1988556626,10.3262397222,10.1527805772,10.2666131411,38172641,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-16,37.87,38.85,37.55,37.55,36215500,10.263902842,10.5295121576,10.1771732695,10.1771732695,47949322,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-17,37.3,38.27,37.1,37.868,30203900,10.109415791,10.3723148075,10.0552098082,10.2633607821,39989963,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-18,36.11,37.8,35.41,37.3,48607700,9.7868901934,10.244930748,9.5971692536,10.109415791,64356594,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-22,35.96,36.05,33.6,34.35,50103300,9.7462357063,9.7706283985,9.1066051093,9.3098775448,66336769,0.0,1.0,hdividend,T,Tiingo,daily
2008-01-23,36.69,37.02,33.32,35.26,57797600,9.9440875435,10.0335274151,9.0307167334,9.5565147665,76524022,0.0,1.0,hdividend,T,Tiingo,daily
