date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,43.21,44.14,42.85,43.9,10865500,15.8259290385,16.1665472752,15.6940768179,16.0786457948,10865500,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-03,43.41,43.99,43.21,43.35,9017900,15.8991802722,16.1116088499,15.8259290385,15.8772049021,9017900,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-04,42.6,43.63,42.51,42.97,11886800,15.6025127758,15.9797566293,15.5695497206,15.7380275581,11886800,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-07,43.35,43.57,42.76,42.91,16094100,15.8772049021,15.9577812592,15.6611137627,15.716052188,16094100,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-08,41.99,44.32,40.57,43.3,37362400,15.5365866655,16.3987025724,15.0111769711,16.0212956088,37362400,0.43,1.0,hdividend,VZ,Tiingo,daily
2008-01-09,42.47,42.52,40.51,41.86,26413800,15.7141899424,15.7326902838,14.9889765615,15.488485778,26413800,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-10,43.45,43.87,41.9,42.21,22965800,16.0767966329,16.2321995002,15.503286051,15.6179881674,22965800,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-11,42.5,43.7,42.01,43.4,17973800,15.7252901472,16.1692983396,15.543986802,16.0582962915,17973800,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-14,42.99,43.23,42.53,42.76,11108700,15.9065934925,15.9953951309,15.736390352,15.8214919223,11108700,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-15,42.17,42.98,42.11,42.54,13851300,15.6031878943,15.9028934242,15.5809874847,15.7400904203,13851300,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-16,42.32,43.19,41.89,41.89,14502400,15.6586889184,15.9805948579,15.4995859828,15.4995859828,14502400,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-17,40.91,42.66,40.69,42.34,22353700,15.1369792923,15.7844912396,15.0555777904,15.6660890549,22353700,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-18,39.09,41.4,38.25,41.13,42584900,14.4635668672,15.3182826375,14.1527611325,15.2183807943,42584900,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-22,37.83,38.5,36.8,37.26,33056100,13.9973582652,14.2452628393,13.6162512334,13.7864543738,33056100,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-23,38.07,38.15,35.4,36.75,33402900,14.0861599037,14.1157604498,13.0982416756,13.597750892,33402900,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-24,38.23,39.23,37.43,38.16,19037100,14.145360996,14.515367823,13.8493555344,14.1194605181,19037100,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-25,37.76,38.77,37.66,38.31,15000300,13.9714577873,14.3451646825,13.9344571046,14.1749615421,15000300,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-28,38.11,38.19,35.67,37.23,24335100,14.1009601767,14.1305607229,13.1981435189,13.775354169,24335100,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-29,38.71,39.23,37.8,38.72,17621400,14.3229642729,14.515367823,13.9862580604,14.3266643412,17621400,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-30,38.24,38.96,36.77,38.41,15130600,14.1490610642,14.4154659797,13.6051510286,14.2119622248,15130600,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-01-31,38.83,39.17,37.51,37.75,17948000,14.3673650922,14.4931674133,13.8789560805,13.967757719,17948000,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-02-01,38.75,39.49,38.53,39.25,14811000,14.337764546,14.611569598,14.2563630441,14.5227679595,14811000,0.0,1.0,hdividend,VZ,Tiingo,daily
2008-02-04,38.61,38.98,38.23,38.7,12338800,14.2859635902,14.4228661162,14.145360996,14.3192642047,12338800,0.0,1.0,hdividend,VZ,Tiingo,daily
