date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,46.9,47.63,46.46,47.51,19918600,10.8043125432,10.9724820135,10.7029501227,10.944837717,59755800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-03,46.38,46.9,46.23,46.7,19801000,10.6845205918,10.8043125432,10.6499652212,10.7582387157,59403000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-04,45.72,46.37,45.37,45.91,20351200,10.5324769611,10.6822169004,10.451847763,10.5762470972,61053600,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-07,46.56,46.81,45.59,45.8,20326500,10.7259870365,10.7835793208,10.5025289732,10.5509064921,60979500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-08,45.97,47.08,45.88,46.65,19017100,10.5900692454,10.8457789879,10.5693360231,10.7467202589,57051300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-09,46.9,47.0,45.24,46.0,27197600,10.8043125432,10.8273494569,10.4218997751,10.5969803196,81592800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-10,48.4,48.77,47.1,47.2,35694800,11.1498662493,11.2351028301,10.8503863707,10.8734232844,107084400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-11,47.72,48.6088,47.5,48.06,28185000,10.9932152358,11.1979673252,10.9425340256,11.0715407426,84555000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-14,47.67,47.9,47.03,47.5,8573800,10.981696779,11.0346816806,10.8342605311,10.9425340256,25721400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-15,46.99,47.43,46.77,47.27,24480100,10.8250457656,10.926408186,10.7743645553,10.889549124,73440300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-16,47.49,48.05,46.68,47.14,25324300,10.9402303343,11.0692370512,10.753631333,10.8596011362,75972900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-17,47.48,47.93,47.1,47.55,27911400,10.9379266429,11.0415927547,10.8503863707,10.9540524825,83734200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-18,47.58,48.51,47.42,47.75,33709400,10.9609635566,11.1752068544,10.9241044946,11.00012631,101128200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-22,49.2042,49.53,46.09,46.32,45128500,11.3351291096,11.4101833745,10.6177135419,10.6706984435,135385500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-23,50.16,50.36,48.31,48.42,50422200,11.5553159311,11.6013897585,11.1291330269,11.154473632,151266600,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-24,48.91,50.24,48.48,50.18,35716500,11.2673545093,11.5737454621,11.1682957803,11.5599233138,107149500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-25,48.09,49.26,47.99,49.01,24975700,11.0784518167,11.3479837074,11.0554149029,11.2903914231,74927100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-28,48.71,48.78,47.9,48.3,23440900,11.2212806819,11.2374065215,11.0346816806,11.1268293355,70322700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-29,49.01,49.19,48.13,49.0,21741500,11.2903914231,11.3318578678,11.0876665822,11.2880877317,65224500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-30,49.16,50.0,48.5,48.72,24486700,11.3249467937,11.5184568691,11.172903163,11.2235843732,73460100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-01-31,50.74,51.3,48.73,49.23,46217900,11.6889300307,11.8179367477,11.2258880646,11.3410726333,138653700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-01,51.18,51.4799,50.31,50.74,25745800,11.7902924512,11.8593801555,11.5898713017,11.6889300307,77237400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-04,50.07,51.25,49.83,51.18,20321300,11.5345827087,11.8064182908,11.4792941157,11.7902924512,60963900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-05,49.56,50.66,49.46,49.96,28403700,11.4170944486,11.6705004998,11.3940575349,11.5092421036,85211100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-06,48.83,50.03,48.51,49.7,28492300,11.2489249783,11.5253679432,11.1752068544,11.4493461279,85476900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-07,49.84,50.0,47.84,48.0,36286200,11.4815978071,11.5184568691,11.0208595323,11.0577185943,108858600,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-08,48.76,50.1,48.64,49.67,22542300,11.2327991387,11.5414937828,11.2051548422,11.4424350537,67626900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-11,49.6,49.68,48.34,48.93,21552900,11.4263092141,11.4447387451,11.136044101,11.2719618921,64658700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-12,50.25,50.72,49.48,49.48,23367400,11.5760491534,11.684322648,11.3986649176,11.3986649176,70102200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-13,50.66,51.01,50.22,50.67,16078600,11.6705004998,11.7511296978,11.5691380793,11.6728041911,48235800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-14,49.97,50.9,49.76,50.59,18011900,11.511545795,11.7257890927,11.4631682761,11.6543746601,54035700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-15,49.44,50.0,49.11,49.84,25832500,11.3894501521,11.5184568691,11.3134283368,11.4815978071,77497500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-19,49.66,50.32,49.3,50.14,22027200,11.4401313624,11.592174993,11.3571984729,11.5507085483,66081600,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-20,49.7,49.97,49.01,49.3,21676800,11.4493461279,11.511545795,11.2903914231,11.3571984729,65030400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-21,49.79,50.23,49.6,49.78,22399700,11.4700793502,11.5714417707,11.4263092141,11.4677756589,67199100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-22,49.97,50.2,49.47,49.65,19518900,11.511545795,11.5645306966,11.3963612263,11.437827671,58556700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-25,50.33,50.4,49.7,50.19,25536400,11.5944786844,11.610604524,11.4493461279,11.5622270052,76609200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-26,51.4,51.48,50.19,50.41,31028600,11.8409736614,11.8594031924,11.5622270052,11.6129082154,93085800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-27,51.43,51.57,50.92,51.06,29191300,11.8478847355,11.8801364148,11.7303964755,11.7626481547,87573900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-28,50.7,51.4,50.63,50.96,18397000,11.6797152652,11.8409736614,11.6635894256,11.739611241,55191000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-02-29,49.59,50.67,49.53,50.58,20219400,11.4240055228,11.6728041911,11.4101833745,11.6520709688,60658200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-03,49.89,50.02,49.22,49.59,19752100,11.493116264,11.5230642518,11.3387689419,11.4240055228,59256300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-04,49.87,50.02,49.62,49.7,24989100,11.4885088812,11.5230642518,11.4309165969,11.4493461279,74967300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-05,49.5519,50.19,49.26,50.0,22994800,11.4152284586,11.5622270052,11.3479837074,11.5184568691,68984400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-06,49.98,50.4,49.85,50.36,27516400,11.5138494863,11.610604524,11.4839014985,11.6013897585,82549200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-07,49.9,50.74,49.68,49.8,24346300,11.4954199553,11.6889300307,11.4447387451,11.4723830416,73038900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-10,48.85,50.0,48.64,49.865,24325300,11.2535323611,11.5184568691,11.2051548422,11.4873570355,72975900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-11,50.25,50.39,49.54,49.9,28354700,11.5760491534,11.6083008327,11.4124870659,11.4954199553,85064100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-12,50.29,50.72,49.94,50.02,26273700,11.639976589,11.7395031338,11.5589666108,11.5774831773,78821100,0.2375,1.0,hdividend,WMT,Tiingo,daily
2008-03-13,50.6,50.67,49.46,50.0,29852900,11.7117282841,11.7279302797,11.4478672121,11.5728540356,89558700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-14,49.82,50.71,49.1722,50.71,27481400,11.5311917611,11.7371885629,11.3812538642,11.7371885629,82444200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-17,49.95,50.4,49.29,49.31,22126100,11.5612811816,11.6654368679,11.4085195083,11.4131486499,66378300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-18,50.98,51.01,50.22,50.46,26380000,11.7996819747,11.8066256872,11.6237745934,11.6793242928,79140000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-19,50.78,51.45,50.66,50.98,25829900,11.7533905586,11.9084668027,11.7256157089,11.7996819747,77489700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-20,53.23,53.49,50.78,50.93,44533300,12.3204604063,12.3806392473,11.7533905586,11.7881091207,133599900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-24,53.63,54.15,53.23,53.52,22246400,12.4130432386,12.5334009206,12.3204604063,12.3875829597,66739200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-25,53.05,53.71,52.91,53.63,20327500,12.2787981318,12.4315598051,12.2463941405,12.4130432386,60982500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-26,52.9,53.4,52.66,52.89,19226400,12.2440795697,12.3598081101,12.1885298703,12.2417649989,57679200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-27,52.37,53.22,52.28,53.02,18981300,12.1214073169,12.3181458355,12.1005761797,12.2718544194,56943900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-28,52.12,52.67,51.77,52.1,15048000,12.0635430468,12.1908444411,11.9825330685,12.0589139051,45144000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-03-31,52.68,53.11,51.63,52.2,19594400,12.193159012,12.2926855567,11.9501290772,12.0820596132,58783200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-01,54.08,54.16,52.81,53.28,24232600,12.5171989249,12.5357154914,12.2232484324,12.3320332604,72697800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-02,54.46,54.89,54.0,54.32,21720300,12.6051526156,12.7046791603,12.4986823585,12.5727486243,65160900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-03,54.93,55.2,53.99,54.23,23190400,12.7139374436,12.7764308553,12.4963677877,12.5519174871,69571200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-04,54.4,54.95,54.22,54.72,20728100,12.5912651908,12.7185665852,12.5496029162,12.6653314566,62184300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-07,54.23,54.81,53.91,54.8,18858100,12.5519174871,12.6861625939,12.4778512212,12.6838480231,56574300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-08,54.45,54.85,53.99,54.02,15757000,12.6028380448,12.6954208771,12.4963677877,12.5033115001,47271000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-09,54.14,54.6,53.74,54.37,19530800,12.5310863498,12.6375566069,12.4385035175,12.5843214784,58592400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-10,54.66,55.33,54.41,54.845,28967600,12.6514440318,12.8065202758,12.5935797616,12.6942635917,86902800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-11,54.8,55.14,54.13,54.25,23461100,12.6838480231,12.7625434305,12.528771779,12.5565466287,70383300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-14,55.15,55.34,54.86,54.89,17423500,12.7648580013,12.8088348466,12.6977354479,12.7046791603,52270500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-15,56.27,56.39,55.19,55.35,25633500,13.0240899317,13.0518647814,12.7741162845,12.8111494175,76900500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-16,57.07,57.12,56.35,56.42,28132800,13.2092555963,13.2208284503,13.0426064982,13.0588084938,84398400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-17,56.67,56.96,56.19,56.78,20980100,13.116672764,13.1837953174,13.0055733653,13.1421330429,62940300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-18,56.31,57.36,56.14,56.99,19735700,13.0333482149,13.2763781497,12.9940005112,13.1907390298,59207100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-21,56.38,56.48,55.75,56.07,14373500,13.0495502106,13.0726959187,12.9037322497,12.9777985156,43120500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-22,56.55,56.56,55.84,56.25,14537300,13.0888979143,13.0912124851,12.924563387,13.0194607901,43611900,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-23,56.92,57.27,56.31,56.31,15216800,13.1745370342,13.2555470124,13.0333482149,13.0333482149,45650400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-24,57.45,57.68,57.01,57.02,19341500,13.297209287,13.3504444155,13.1953681714,13.1976827422,58024500,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-25,57.65,58.04,57.14,57.93,16982400,13.3435007031,13.4337689646,13.2254575919,13.4083086857,50947200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-28,57.35,57.94,57.2,57.5,12469100,13.2740635789,13.4106232565,13.2393450168,13.308782141,37407300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-29,58.61,58.8,57.4,57.42,17691400,13.5656995006,13.6096763459,13.2856364329,13.2902655745,53074200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-04-30,57.98,59.04,57.88,58.7,20268400,13.4198815397,13.6652260453,13.3967358317,13.5865306378,60805200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-01,58.07,59.09,57.63,58.15,18653000,13.440712677,13.6767988993,13.3388715615,13.4592292435,55959000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-02,57.5,58.89,56.9,58.89,19488800,13.308782141,13.6305074832,13.1699078926,13.6305074832,58466400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-05,56.97,57.34,56.81,57.16,18498200,13.1861098882,13.2717490081,13.1490767553,13.2300867335,55494600,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-06,56.35,57.24,56.03,56.99,21193400,13.0426064982,13.2486033,12.9685402323,13.1907390298,63580200,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-07,56.83,56.85,56.03,56.27,25029800,13.1537058969,13.1583350385,12.9685402323,13.0240899317,75089400,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-08,57.16,57.6,56.75,57.4,26499000,13.2300867335,13.3319278491,13.1351893305,13.2856364329,79497000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-09,57.18,57.49,56.61,56.83,12992000,13.2347158752,13.3064675702,13.1027853392,13.1537058969,38976000,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-12,58.02,58.37,57.64,57.69,18205100,13.429139823,13.5101498012,13.3411861323,13.3527589863,54615300,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-13,56.65,57.5,56.37,57.35,29000600,13.1120436224,13.308782141,13.0472356398,13.2740635789,87001800,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-14,57.45,57.6,56.65,56.88,17469400,13.3521803436,13.3870424333,13.1662491987,13.2197044029,52408200,0.2375,1.0,hdividend,WMT,Tiingo,daily
2008-05-15,57.12,57.57,56.65,57.57,16672700,13.2754837463,13.3800700154,13.1662491987,13.3800700154,50018100,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-16,57.04,57.43,56.59,57.39,14540900,13.2568906319,13.347532065,13.1523043628,13.3382355078,43622700,0.0,1.0,hdividend,WMT,Tiingo,daily
2008-05-19,56.4,57.05,56.16,56.95,15555900,13.1081457159,13.2592147712,13.0523663725,13.2359733781,46667700,0.0,1.0,hdividend,WMT,Tiingo,daily
