date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,93.51,94.55,92.78,94.15,23351900,49.4474642193,49.9974092818,49.061445089,49.7858919501,23351900,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-03,93.83,94.74,93.51,93.96,19160600,49.6166780847,50.0978800143,49.4474642193,49.6854212175,19160600,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-04,92.08,94.36,91.88,93.5,24730900,48.6912897585,49.8969385492,48.5855310926,49.442176286,24730900,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-07,91.22,93.15,90.25,92.47,28937500,48.2365274953,49.2570986208,47.7235979659,48.8975191569,28937500,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-08,90.05,92.05,89.68,91.86,21764500,47.6178393001,48.6754259586,47.4221857683,48.5749552261,21764500,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-09,91.56,91.73,89.5,90.03,26198800,48.4163172273,48.5062120933,47.327002969,47.6072634335,26198800,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-10,91.66,92.16,90.07,90.5,27285300,48.4691965602,48.7335932248,47.6284151667,47.8557962983,27285300,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-11,90.3,91.86,90.0,90.91,22727200,47.7500376324,48.5749552261,47.5913996336,48.0726015633,22727200,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-14,90.83,91.25,90.08,90.94,20425900,48.0302980969,48.2523912952,47.6337031,48.0884653631,20425900,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-15,89.02,89.89,88.49,89.81,26486000,47.073182171,47.5332323674,46.7929217064,47.4909289011,26486000,0.0,1.0,hdividend,XOM,Tiingo,daily
2008-01-16,86.53,89.35,85.91,88.45,35965400,45.7564867811,47.2476839696,45.4286349169,46.7717699733,35965400,0.0,1.0,hdividend,XOM,Tiingo,daily
