date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,194.84,200.26,192.55,199.27,38542100,5.848982769,6.0116879969,5.7802383093,5.9819687763,1079179879,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-03,194.93,197.39,192.69,195.41,30073800,5.8516845163,5.9255322766,5.7844410273,5.8660938354,842067242,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-04,180.05,193.0,178.89,191.45,51994000,5.4049956249,5.7937470459,5.3701731038,5.747216953,1455833455,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-07,177.64,183.6,170.23,181.25,74006900,5.3326488354,5.5115645473,5.1102049721,5.4410189226,2072195272,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-08,171.25,182.46,170.8,180.14,54422000,5.1408247752,5.4773424145,5.1273160385,5.4076973723,1523817523,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-09,179.4,179.5,168.3,171.3,64781500,5.3854830054,5.3884849468,5.0522675017,5.1423257459,1813883813,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-10,178.02,181.0,175.41,177.58,52963400,5.344056213,5.4335140689,5.2657055405,5.3308476705,1482976682,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-11,172.69,177.85,170.0,176.0,44010200,5.1840527324,5.3389529125,5.1033005067,5.2834169952,1232286832,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-14,178.78,179.42,175.17,177.52,39301800,5.3668709682,5.3860833936,5.258500881,5.3290465056,1100451500,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-15,169.04,179.22,164.66,177.72,83688500,5.0744818686,5.3800795107,4.942996832,5.3350503886,2343280343,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-16,159.64,169.01,156.7,165.23,79065900,4.79229937,5.0735812861,4.7040422906,4.9601078984,2213847413,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-17,160.89,165.36,158.42,161.51,62780700,4.8298236384,4.9640104223,4.755675684,4.8484356756,1757861357,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-18,161.36,165.75,159.61,161.71,61583700,4.8439327633,4.9757179941,4.7913987875,4.8544395585,1724345324,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-22,155.64,159.98,146.0,148.06,86955500,4.672221711,4.802505971,4.3828345529,4.4446745472,2434756434,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-23,139.072,140.0,126.14,136.19,120463200,4.1748600475,4.2027180644,3.786648976,4.0883440942,3372972972,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-24,135.6,140.7,132.01,139.99,71638100,4.0706326395,4.2237316547,3.9628629406,4.2024178702,2005868805,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-25,130.01,139.09,129.61,138.99,55526400,3.9028241111,4.175400397,3.8908163452,4.1723984555,1554740754,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-28,130.01,133.2,126.45,128.16,52673000,3.9028241111,3.9985860441,3.7959549946,3.8472881938,1474845474,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-29,131.54,132.79,129.05,131.15,39285100,3.9487538156,3.9862780841,3.8740054729,3.9370462439,1099983899,0.0,1.0,hreturn,AAPL,Tiingo,daily
2008-01-30,132.18,135.45,130.0,131.37,44394700,3.9679662411,4.0661297273,3.9025239169,3.9436505151,1243052843,0.0,1.0,hreturn,AAPL,Tiingo,daily
