date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,41.71,43.25,41.45,42.9,6047700,41.71,43.25,41.45,42.9,6047700,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-03,41.79,42.21,41.5,41.55,5186700,41.79,42.21,41.5,41.55,5186700,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-04,40.36,41.49,40.01,41.3,8938700,40.36,41.49,40.01,41.3,8938700,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-07,40.24,40.75,39.68,40.39,7757600,40.24,40.75,39.68,40.39,7757600,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-08,39.22,40.19,39.19,39.9,8896200,39.22,40.19,39.19,39.9,8896200,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-09,39.46,39.62,38.92,39.41,9059100,39.46,39.62,38.92,39.41,9059100,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-10,39.25,39.5,38.69,39.34,8393300,39.25,39.5,38.69,39.34,8393300,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-11,38.05,39.19,37.92,38.84,10801200,38.05,39.19,37.92,38.84,10801200,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-14,38.48,38.64,38.03,38.48,7212600,38.48,38.64,38.03,38.48,7212600,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-15,37.92,38.42,37.74,38.08,7776000,37.92,38.42,37.74,38.08,7776000,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-16,37.7,38.37,37.46,37.75,8595200,37.7,38.37,37.46,37.75,8595200,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-17,35.55,37.52,34.9,37.19,16896300,35.55,37.52,34.9,37.19,16896300,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-18,35.33,36.01,34.8,35.04,13735800,35.33,36.01,34.8,35.04,13735800,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-22,34.0,34.49,32.99,33.01,10188900,34.0,34.49,32.99,33.01,10188900,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-23,34.33,34.48,32.61,33.21,10292400,34.33,34.48,32.61,33.21,10292400,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-24,34.64,34.7,33.56,33.56,7290400,34.64,34.7,33.56,33.56,7290400,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-25,34.84,35.62,34.72,34.98,9220200,34.84,35.62,34.72,34.98,9220200,0.0,1.0,hreturn,ADBE,Tiingo,daily
2008-01-28,35.15,35.32,34.8,35.22,5746400,35.15,35.32,34.8,35.22,5746400,0.0,1.0,hreturn,ADBE,Tiingo,daily
