date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,68.14,69.66,68.11,69.63,3736000,47.2751307449,48.3296977941,47.2543169216,48.3088839708,3736000,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-03,67.12,68.88,66.91,68.52,3501000,46.5674607514,47.7885383873,46.421763988,47.5387725072,3501000,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-04,65.65,66.9,65.38,66.9,4936000,45.5475834077,46.4148260469,45.3602589977,46.4148260469,4936000,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-07,65.98,66.64,64.8,65.65,3973500,45.7765354645,46.2344395779,44.9578584131,45.5475834077,3973500,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-08,64.97,66.87,64.91,66.01,5856600,45.075803412,46.3940122235,45.0341757654,45.7973492878,5856600,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-09,67.27,67.35,64.9,65.27,8802400,46.6715298681,46.727033397,45.0272378243,45.2839416454,8802400,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-10,69.86,70.45,66.27,66.53,10950500,48.4684566164,48.877795142,45.9777357568,46.1581222257,10950500,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-11,66.43,69.49,66.0,69.38,8229300,46.0887428146,48.2117527952,45.7904113467,48.1354354429,8229300,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-14,64.71,66.98,63.62,66.98,10121500,44.8954169431,46.4703295758,44.1391813618,46.4703295758,10121500,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-15,63.98,64.61,63.71,64.06,6862100,44.3889472418,44.826037532,44.2016228318,44.4444507708,6862100,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-16,64.1,65.1,63.73,64.0,9600600,44.4722025352,45.1659966465,44.215498714,44.4028231241,9600600,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-17,64.3,65.56,64.08,64.09,7161200,44.6109613575,45.4851419377,44.458326653,44.4652645941,7161200,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-18,64.53,65.83,63.65,63.72,7358100,44.7705340031,45.6724663478,44.1599951851,44.2085607729,7358100,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-22,66.06,66.8,62.38,62.73,9818400,45.8320389934,46.3454466358,43.2788766637,43.5217046027,9818400,0.0,1.0,hreturn,COST,Tiingo,daily
2008-01-23,68.61,69.0,64.72,65.31,10043800,47.6012139772,47.8717936806,44.9023548842,45.3116934099,10043800,0.0,1.0,hreturn,COST,Tiingo,daily
