date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,25.35,26.34,24.95,26.28,84278800,15.4523108834,16.055773912,15.2084874375,16.0192003951,84278800,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-03,24.67,25.4,24.38,25.37,85190500,15.0378110254,15.4827888141,14.8610390271,15.4645020557,85190500,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-04,22.67,23.6,22.35,23.46,174093400,13.8186937959,14.3855833076,13.6236350392,14.3002451016,174093400,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-07,22.88,23.03,22.36,22.8,112063700,13.946701105,14.0381348972,13.6297306254,13.8979364158,112063700,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-08,22.26,23.13,22.23,22.92,80520800,13.5687747639,14.0990907587,13.5504880055,13.9710834496,80520800,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-09,22.75,22.87,22.26,22.4,73239600,13.8674584851,13.9406055189,13.5687747639,13.65411297,73239600,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-10,22.54,22.7,22.2,22.57,81185100,13.739451176,13.8369805544,13.532201247,13.7577379345,81185100,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-11,21.99,22.36,21.77,22.25,75915200,13.4041939379,13.6297306254,13.2700910427,13.5626791777,75915200,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-14,23.08,23.2,22.41,22.89,85033000,14.068612828,14.1417598617,13.6602085561,13.9527966912,85033000,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-15,22.69,23.2,22.51,23.0,129312400,13.8308849682,14.1417598617,13.7211644176,14.0198481388,129312400,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-16,19.88,20.39,19.7,20.03,309347600,12.1180252608,12.4289001543,12.0083047102,12.209459053,309347600,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-17,19.33,20.05,19.21,20.02,172761000,11.7827680227,12.2216502253,11.709620989,12.2033634669,172761000,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-18,19.0,19.65,18.95,19.39,143864100,11.5816136799,11.9778267794,11.5511357491,11.8193415396,143864100,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-22,18.63,19.0,18.05,18.2,146951600,11.3560769924,11.5816136799,11.0025329959,11.0939667881,146951600,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-23,19.98,20.21,18.24,18.33,173781800,12.1789811223,12.3191796037,11.1183491327,11.173209408,173781800,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-24,20.69,20.74,20.07,20.1525,90383900,12.6117677388,12.6422456695,12.2338413976,12.2841299833,90383900,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-25,20.0,21.28,19.9995,21.27,104701200,12.1911722946,12.9714073215,12.1908675153,12.9653117353,104701200,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-28,20.29,20.3,19.62,19.88,68633200,12.3679442929,12.374039879,11.959540021,12.1180252608,68633200,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-29,20.5,20.61,20.25,20.44,78365800,12.495951602,12.5630030496,12.3435619483,12.4593780851,78365800,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-30,20.69,21.22,20.29,20.36,96055500,12.6117677388,12.9348338046,12.3679442929,12.4106133959,96055500,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-01-31,21.1,21.34,20.36,20.44,100753400,12.8616867708,13.0079808383,12.4106133959,12.4593780851,100753400,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-02-01,21.7699,21.82,21.22,21.4,66087600,13.2700300868,13.3005689734,12.9348338046,13.0445543552,66087600,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-02-04,21.2,21.75,21.16,21.74,65724200,12.9226426323,13.2578998704,12.8982602877,13.2518042842,65724200,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-02-05,20.1215,20.87,20.1,20.69,85581600,12.3429523897,12.8020980728,12.3297638363,12.6916822773,85581600,0.1275,1.0,hreturn,INTC,Tiingo,daily
2008-02-06,19.9199,20.43,19.9,20.14,73305800,12.2192866987,12.5321927948,12.207079619,12.3543006798,73305800,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-02-07,20.05,20.36,19.5,19.66,76942200,12.299092782,12.4892533188,11.9617111845,12.0598585583,76942200,0.0,1.0,hreturn,INTC,Tiingo,daily
2008-02-08,20.27,20.33,19.95,19.96,54170800,12.434045421,12.4708506862,12.2377506734,12.2438848842,54170800,0.0,1.0,hreturn,INTC,Tiingo,daily
