date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,65.91,67.0,65.72,66.56,11970500,39.0125561191,39.6577341826,38.9000938878,39.3972953313,11970500,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-03,65.93,66.4,65.36,65.4,9277600,39.0243942487,39.3025902944,38.6870075549,38.7106838141,9277600,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-04,65.84,66.4,65.72,65.72,12714800,38.9711226654,39.3025902944,38.9000938878,38.9000938878,12714800,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-07,66.86,67.21,65.75,66.01,12352700,39.5748672754,39.7820345435,38.9178510822,39.0717467671,12352700,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-08,66.94,67.75,66.6,66.75,13478500,39.6222197938,40.1016640429,39.4209715905,39.5097575626,13478500,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-09,67.8,68.29,66.99,67.3,19489900,40.1312593669,40.4212935423,39.6518151178,39.8353061267,19489900,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-10,67.91,68.23,67.35,67.43,13043400,40.1963690797,40.3857791535,39.8649014508,39.9122539692,13043400,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-11,67.88,68.03,67.34,67.45,15541800,40.1786118853,40.2673978574,39.858982386,39.9240920988,15541800,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-14,67.95,68.29,67.31,67.89,11661600,40.220045339,40.4212935423,39.8412251915,40.1845309501,11661600,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-15,67.76,68.17,67.45,67.47,11545300,40.1075831077,40.3502647646,39.9240920988,39.9359302284,11545300,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-16,68.31,68.85,67.33,67.33,18310300,40.4331316719,40.7527611713,39.8530633212,39.8530633212,18310300,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-17,67.83,68.56,67.58,68.37,18336600,40.1490165613,40.581108292,40.0010399412,40.4686460607,18336600,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-18,66.29,68.16,66.01,67.95,22716600,39.2374805816,40.3443456998,39.0717467671,40.220045339,22716600,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-22,65.27,66.75,64.5,65.31,29488900,38.6337359717,39.5097575626,38.1779679818,38.6574122309,29488900,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-23,64.2,65.57,62.13,65.24,22843600,38.0003960377,38.8113079158,36.7751496234,38.6159787772,22843600,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-24,63.51,64.54,63.34,64.33,18084400,37.5919805663,38.201644241,37.4913564646,38.0773438801,18084400,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-25,62.46,63.99,62.34,63.54,23938400,36.9704787619,37.8760956768,36.8994499843,37.6097377607,23938400,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-28,63.07,63.13,62.5,62.57,10182000,37.3315417149,37.3670561037,36.9941550211,37.0355884747,10182000,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-29,62.97,63.39,62.83,63.36,10074000,37.2723510669,37.5209517886,37.1894841596,37.5031945942,10074000,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-30,62.1799,63.0,62.0,62.76,13653300,36.8046857568,37.2901082613,36.698201781,37.148050706,13653300,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-01-31,63.14,63.39,61.72,61.95,21274200,37.3729751685,37.5209517886,36.5324679665,36.6686064569,21274200,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-01,63.36,64.09,62.75,63.31,11780400,37.5031945942,37.9352863249,37.1421316412,37.4735992702,11780400,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-04,63.47,63.71,63.0,63.36,7976200,37.568304307,37.7103618623,37.2901082613,37.5031945942,7976200,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-05,62.87,63.75,62.8,63.26,11320400,37.2131604188,37.7340381215,37.1717269652,37.4440039462,11320400,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-06,63.05,63.37,62.78,63.2,9556900,37.3197035853,37.509113659,37.1598888356,37.4084895574,9556900,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-07,62.81,63.18,62.5,62.81,13693300,37.17764603,37.3966514278,36.9941550211,37.17764603,13693300,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-08,62.03,63.19,61.94,62.56,13338800,36.7159589754,37.4025704926,36.6626873921,37.0296694099,13338800,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-11,61.88,62.14,61.36,62.0,11133400,36.6271730033,36.7810686882,36.3193816335,36.698201781,11133400,0.0,1.0,hreturn,JNJ,Tiingo,daily
2008-02-12,62.97,63.15,62.01,62.11,11421300,37.2723510669,37.3788942333,36.7041208458,36.7633114938,11421300,0.0,1.0,hreturn,JNJ,Tiingo,daily
