date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,42.17,43.79,42.0,43.47,22122300,26.8872004871,27.9200974467,26.7788100654,27.7160684176,22122300,0.38,1.0,hreturn,JPM,Tiingo,daily
2008-01-03,41.88,42.65,41.76,42.65,17150700,26.7022991795,27.1932440307,26.6257882936,27.1932440307,17150700,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-04,40.93,41.8,40.63,41.41,25873800,26.0965879994,26.6512919222,25.9053107847,26.402631543,25873800,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-07,41.34,41.58,40.16,40.4,25644100,26.3580001929,26.5110219647,25.6056431482,25.75866492,25644100,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-08,39.7,41.58,39.42,41.5,33646000,25.3123514189,26.5110219647,25.1338260185,26.4600147074,33646000,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-09,40.26,40.34,38.54,39.29,33546300,25.6694022198,25.7204094771,24.5727461885,25.0509392254,33546300,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-10,41.33,42.14,39.3,39.5,41863600,26.3516242857,26.8680727656,25.0573151326,25.1848332758,41863600,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-11,40.86,42.1,40.39,41.08,37520500,26.0519566493,26.8425691369,25.7522890129,26.1922266068,37520500,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-14,41.36,41.75,40.6,41.25,22817000,26.3707520072,26.6194123864,25.8861830632,26.3006170285,22817000,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-15,39.17,40.73,38.85,40.58,45240000,24.9744283395,25.9690698562,24.7703993105,25.8734312489,45240000,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-16,41.43,42.65,40.21,40.37,63183100,26.4153833573,27.1932440307,25.637522684,25.7395371985,63183100,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-17,40.04,41.68,39.8,41.37,39647200,25.5291322623,26.5747810363,25.3761104905,26.3771279144,39647200,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-18,39.59,40.67,38.52,40.17,51919100,25.2422164402,25.9308144133,24.5599943742,25.6120190554,51919100,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-22,40.86,42.0,37.66,38.01,57178600,26.0519566493,26.7788100654,24.0116663586,24.2348231091,57178600,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-23,45.72,46.15,40.0,45.25,77137000,29.1506475283,29.4248115361,25.5036286337,28.8509798918,77137000,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-24,44.96,46.01,44.26,45.0,52062600,28.6660785842,29.3355488359,28.2197650832,28.6915822129,52062600,0.0,1.0,hreturn,JPM,Tiingo,daily
2008-01-25,43.64,45.84,43.21,45.63,38410900,27.8244588393,29.2271584142,27.5502948315,29.0932643639,38410900,0.0,1.0,hreturn,JPM,Tiingo,daily
