date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,52.55,53.78,52.21,53.47,5556800,31.2616946353,31.9934146049,31.0594305787,31.8089973768,5556800,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-03,52.99,53.16,52.62,52.72,4513400,31.5234481203,31.6245801487,31.3033372352,31.3628266636,4513400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-04,51.8,52.83,51.68,52.54,6186500,30.8155239221,31.4282650349,30.744136608,31.2557456925,6186500,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-07,54.55,54.73,52.17,52.21,10376100,32.4514832037,32.5585641749,31.0356348073,31.0594305787,10376100,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-08,56.06,57.22,54.41,54.82,12197900,33.3497735729,34.0398509426,32.3681980039,32.6121046605,12197900,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-09,56.86,57.13,56.05,56.48,9577400,33.8256890002,33.986310457,33.34382463,33.5996291722,9577400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-10,56.85,57.12,56.07,56.55,6288300,33.8197400574,33.9803615141,33.3557225157,33.6412717721,6288300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-11,56.81,57.13,56.22,56.41,5360600,33.795944286,33.986310457,33.4449566584,33.5579865724,5360600,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-14,57.18,57.52,56.89,57.22,5563800,34.0160551712,34.2183192278,33.8435358288,34.0398509426,5563800,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-15,56.59,57.12,56.21,56.85,5884000,33.6650675435,33.9803615141,33.4390077155,33.8197400574,5884000,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-16,56.07,57.17,55.93,56.3,7974400,33.3557225157,34.0101062284,33.2724373159,33.4925482011,7974400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-17,54.84,56.3,54.7,56.12,9679400,32.6240025461,33.4925482011,32.5407173464,33.3854672299,9679400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-18,53.71,55.1,53.4,54.81,10013600,31.951772005,32.77867506,31.7673547769,32.6061557176,10013600,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-22,52.17,53.0,50.05,51.98,10933000,31.0356348073,31.5293970632,29.7744589248,30.9226048933,10933000,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-23,52.18,52.21,50.21,50.74,8778300,31.0415837501,31.0594305787,29.8696420102,30.1849359809,8778300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-24,51.32,52.75,50.97,52.42,12998200,30.5299746657,31.3806734921,30.3217616662,31.1843583783,12998200,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-25,50.74,51.75,50.37,51.75,9579100,30.1849359809,30.7857792079,29.9648250957,30.7857792079,9579100,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-28,51.4,51.63,50.5554,51.07,7076500,30.5775662085,30.7143918938,30.075118496,30.3812510947,7076500,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-29,52.31,52.92,52.02,52.92,9264300,31.1189200071,31.4818055205,30.9464006647,31.4818055205,9264300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-30,51.35,52.35,51.2,52.27,7358300,30.5478214942,31.1427157785,30.4585873516,31.0951242357,7358300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-01-31,51.39,51.77,50.42,50.7,9969700,30.5716172656,30.7976770936,29.9945698099,30.1611402095,9969700,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-01,51.66,52.5,51.22,51.36,7374800,30.7322387223,31.2319499211,30.4704852373,30.5537704371,7374800,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-04,52.08,52.37,51.37,51.67,4836400,30.9820943217,31.1546136641,30.5597193799,30.7381876652,4836400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-05,51.24,52.0,51.12,51.4,5440700,30.482383123,30.934502779,30.4109958089,30.5775662085,5440700,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-06,51.4,51.78,50.84,51.49,4101300,30.5775662085,30.8036260365,30.2444254093,30.631106694,4101300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-07,51.22,51.56,50.57,51.39,7153300,30.4704852373,30.6727492939,30.0838039526,30.5716172656,7153300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-08,50.23,51.05,50.0,51.05,4524200,29.8815398959,30.369353209,29.7447142106,30.369353209,4524200,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-11,50.23,50.35,49.69,50.17,4222500,29.8815398959,29.95292721,29.5602969825,29.8458462389,4222500,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-12,51.02,51.23,50.3,50.63,5217700,30.3515063805,30.4764341801,29.9231824958,30.1194976096,5217700,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-13,50.34,51.3,50.17,51.3,6503400,30.2265785808,30.8030091616,30.1245023321,30.8030091616,6503400,0.47,1.0,hreturn,LLY,Tiingo,daily
2008-02-14,49.98,50.34,49.6,50.27,5213600,30.010417113,30.2265785808,29.7822466747,30.1845471843,5213600,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-15,50.82,50.95,49.63,49.69,6480400,30.5147938712,30.592852179,29.8002601304,29.8362870417,6480400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-19,50.3,51.25,50.15,51.2,5914800,30.2025606399,30.7729867355,30.1124933617,30.7429643094,5914800,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-20,50.37,50.41,49.5,50.065,4290300,30.2445920364,30.2686099773,29.7222018226,30.0614552373,4290300,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-21,49.82,50.8,49.64,50.64,5465000,29.9143453495,30.5027849007,29.8062646156,30.4067131373,5465000,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-22,50.51,51.31,49.64,51.31,9059000,30.3286548295,30.8090136468,29.8062646156,30.8090136468,9059000,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-25,51.3,51.39,50.23,50.44,5266900,30.8030091616,30.8570495285,30.1605292434,30.2866234329,5266900,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-26,52.45,52.51,51.05,51.05,8059900,31.4935249615,31.5295518728,30.6528970312,30.6528970312,8059900,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-27,51.83,52.33,51.55,52.04,3648600,31.1212468781,31.4214711389,30.953121292,31.2473410676,3648600,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-28,50.93,51.23,50.05,50.21,4396800,30.5808432086,30.7609777651,30.0524485095,30.148520273,4396800,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-02-29,50.02,50.71,49.67,50.71,6902600,30.0344350538,30.4487445338,29.8242780713,30.4487445338,6902600,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-03-03,50.19,50.26,49.75,50.12,4099700,30.1365113025,30.178542699,29.872313953,30.094479906,4099700,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-03-04,50.01,50.22,49.74,49.82,5862500,30.0284305686,30.1545247582,29.8663094678,29.9143453495,5862500,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-03-05,50.42,50.62,49.86,50.01,4520500,30.2746144625,30.3947041668,29.9383632904,30.0284305686,4520500,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-03-06,49.68,50.25,49.65,50.13,4446400,29.8302825565,30.1725382138,29.8122691008,30.1004843912,4446400,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-03-07,49.7,50.24,49.38,49.63,7275600,29.8422915269,30.1665337286,29.650148,29.8002601304,7275600,0.0,1.0,hreturn,LLY,Tiingo,daily
2008-03-10,49.42,50.81,49.03,49.7,7032700,29.6741659408,30.508789386,29.4399910174,29.8422915269,7032700,0.0,1.0,hreturn,LLY,Tiingo,daily
