date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,35.22,35.96,35.0,35.79,63004200,25.2974431701,25.828962419,25.1394239339,25.7068566456,63004200,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-03,35.37,35.65,34.86,35.22,49599600,25.4051835584,25.6062989498,25.0388662382,25.2974431701,49599600,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-04,34.38,35.2,34.09,35.19,72090800,24.6940969957,25.283077785,24.4857989116,25.2758950924,72090800,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-07,34.61,34.8,34.25,34.55,80164300,24.8592989244,24.9957700829,24.6007219925,24.8162027691,80164300,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-08,33.45,34.71,33.4,34.71,79148300,24.0261065883,24.9311258499,23.9901931255,24.9311258499,79148300,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-09,34.44,34.54,33.35,33.36,74305500,24.737193151,24.8090200765,23.9542796628,23.9614623553,74305500,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-10,34.33,34.5,33.78,34.35,72446000,24.6581835329,24.7802893063,24.2631354425,24.672548918,72446000,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-11,33.91,34.24,33.72,34.14,55187900,24.3565104457,24.5935392999,24.2200392872,24.5217123744,55187900,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-14,34.39,34.57,34.08,34.46,52792200,24.7012796882,24.8305681542,24.4786162191,24.7515585361,52792200,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-15,34.0,34.38,34.0,34.03,61606200,24.4211546787,24.6940969957,24.4211546787,24.4427027563,61606200,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-16,33.23,33.65,32.51,33.42,120778500,23.8680873521,24.1697604393,23.3509334883,24.0045585106,120778500,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-17,33.11,33.8,32.97,33.54,94247800,23.7818950415,24.2775008276,23.6813373458,24.0907508213,94247800,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-18,33.01,34.0,32.97,33.16,117062000,23.710068116,24.4211546787,23.6813373458,23.8178085043,117062000,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-22,31.99,32.53,31.5,31.54,108521400,22.9774334756,23.3652988734,22.6254815405,22.6542123107,108521400,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-23,31.93,32.05,31.04,31.48,137597400,22.9343373203,23.0205296309,22.2950776831,22.6111161554,137597400,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-24,33.25,33.36,32.12,32.35,155640400,23.8824527372,23.9614623553,23.0708084788,23.2360104075,155640400,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-25,32.94,35.0,32.87,34.9,196992300,23.6597892681,25.1394239339,23.6095104202,25.0675970084,196992300,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-28,32.72,33.1,32.42,33.02,81019000,23.5017700319,23.7747123489,23.2862892554,23.7172508085,81019000,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-29,32.6,32.89,32.35,32.85,68023000,23.4155777213,23.6238758053,23.2360104075,23.5951450351,68023000,0.0,1.0,hreturn,MSFT,Tiingo,daily
2008-01-30,32.2,32.8,32.05,32.56,106432600,23.1282700192,23.5592315724,23.0205296309,23.3868469511,106432600,0.0,1.0,hreturn,MSFT,Tiingo,daily
