date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,33.01,34.25,32.56,34.12,12099100,0.7567704426,0.7851980508,0.7464539718,0.7822177371,483964000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-03,32.75,33.86,32.63,33.2,11882700,0.750809815,0.7762571095,0.7480587562,0.7611262858,475308000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-04,30.0,31.93,29.8,31.77,18402300,0.6877647161,0.7320109128,0.683179618,0.7283428343,736092000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-07,26.9,30.45,26.35,30.2,25170000,0.6166956954,0.6980811868,0.6040866756,0.6923498142,1006800000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-08,27.47,29.29,26.42,27.05,27673900,0.629763225,0.6714876178,0.6056914599,0.620134519,1106956000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-09,28.89,28.9,27.43,27.84,18525900,0.6623174216,0.6625466765,0.6288462054,0.6382456565,741036000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-10,28.29,28.74,27.73,28.1,13860800,0.6485621272,0.658878598,0.6357238525,0.644206284,554432000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-11,27.05,28.2,26.85,27.62,14315300,0.620134519,0.6464988331,0.6155494209,0.6332020486,572612000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-14,28.85,28.89,27.01,27.45,13479700,0.6614004019,0.6623174216,0.6192174994,0.6293047152,539188000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-15,26.73,28.08,26.26,27.75,18142300,0.612798362,0.6437477742,0.6020233815,0.6361823624,725692000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-16,23.71,25.36,23.16,25.05,36611800,0.5435633806,0.58139044,0.5309543608,0.5742835379,1464472000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-17,23.3,24.72,23.24,24.08,28347500,0.5341639295,0.566718126,0.5327884,0.5520458121,1133900000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-18,24.84,24.97,22.52,23.37,23010700,0.5694691849,0.5724494987,0.5162820469,0.5357687138,920428000,0.0,1.0,hreturn,NVDA,Tiingo,daily
2008-01-22,23.68,24.18,22.33,22.47,17727300,0.5428756159,0.5543383611,0.5119262037,0.5151357723,709092000,0.0,1.0,hreturn,NVDA,Tiingo,daily
