date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,72.31,73.59,71.87,73.26,12255300,43.2665798745,44.0324659516,43.0033065354,43.8350109473,12255300,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-03,72.31,73.33,72.0,72.25,11162800,43.2665798745,43.8768953422,43.0810918401,43.2306789646,11162800,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-04,72.02,72.99,71.7,72.17,10049000,43.0930588101,43.6734568529,42.9015872908,43.1828110848,10049000,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-07,72.49,72.67,71.9,72.24,11916000,43.3742826041,43.4819853337,43.0212569904,43.2246954796,11916000,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-08,72.68,73.81,72.0,72.69,17169100,43.4879688186,44.1641026211,43.0810918401,43.4939523036,17169100,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-09,72.54,73.6,72.06,72.97,14875400,43.4042000289,44.0384494366,43.11699275,43.661489883,14875400,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-10,72.48,72.85,72.07,72.5,13039700,43.3682991191,43.5896880633,43.122976235,43.380266089,13039700,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-11,70.18,72.3,70.01,72.01,18046500,41.9920975742,43.2605963895,41.8903783296,43.0870753251,18046500,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-14,70.29,70.89,70.01,70.41,13145800,42.0579159089,42.4169250076,41.8903783296,42.1297177287,13145800,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-15,69.7,70.79,69.23,70.09,12660600,41.7048902953,42.3570901578,41.4236665013,41.9382462094,12660600,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-16,68.84,69.96,68.77,69.69,14936800,41.3997325614,42.0732900929,41.3576352157,41.9109146165,14936800,0.35,1.0,hreturn,PG,Tiingo,daily
2008-01-17,68.07,69.46,67.85,68.86,15130900,40.9366617585,41.7725947663,40.8043558148,41.4117603744,15130900,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-18,67.15,68.65,66.7,68.4,17975000,40.3833823576,41.2854683373,40.1127565637,41.135120674,17975000,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-22,65.13,65.93,62.81,64.18,25636100,39.1685732383,39.6496857608,37.773346923,38.5972521178,25636100,0.0,1.0,hreturn,PG,Tiingo,daily
2008-01-23,66.24,66.5,62.74,64.37,18489400,39.8361168632,39.9924784331,37.7312495773,38.7115163419,18489400,0.0,1.0,hreturn,PG,Tiingo,daily
