date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,55.8,57.75,55.53,57.68,3289100,52.8896014709,54.7378939955,52.6336840445,54.6715450331,3289100,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-03,57.01,57.43,55.884,56.08,2141400,54.0364906785,54.434584453,52.9692202258,53.1549973206,2141400,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-04,55.94,57.0,55.94,56.63,2019300,53.0222993958,54.0270122553,53.0222993958,53.6763105968,2019300,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-07,56.92,57.0,56.09,56.17,2206800,53.9511848696,54.0270122553,53.1644757438,53.2403031294,2206800,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-08,56.88,57.81,56.41,57.09,3195300,53.9132711768,54.7947645347,53.4677852863,54.1123180641,3195300,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-09,55.47,57.17,54.49,56.95,4937000,52.5768135053,54.1881454497,51.6479280314,53.9796201393,4937000,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-10,56.01,56.41,54.41,55.01,4331200,53.0886483582,53.4677852863,51.5721006458,52.1408060379,4331200,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-11,54.99,55.86,54.9,55.5,2143000,52.1218491915,52.9464720102,52.0365433827,52.6052487749,2143000,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-14,55.63,55.96,54.89,55.5,2071000,52.7284682765,53.0412562422,52.0270649595,52.6052487749,2071000,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-15,54.75,55.74,54.26,55.38,3559600,51.8943670347,52.8327309317,51.4299242977,52.4915076964,3559600,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-16,54.79,55.37,54.22,54.59,2514400,51.9322807275,52.4820292732,51.3920106049,51.7427122634,2514400,0.0,1.0,hreturn,TMO,Tiingo,daily
2008-01-17,53.79,54.87,52.51,54.8,5466700,50.9844384072,52.0081081131,49.7712002373,51.9417591507,5466700,0.0,1.0,hreturn,TMO,Tiingo,daily
