date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-01-02,56.67,57.86,56.46,57.19,7698700,44.3987347057,45.3310532923,44.2342078963,44.8061344242,7698700,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-03,56.93,57.29,56.52,56.75,4864000,44.602434565,44.8844805239,44.2812155562,44.4614115855,4864000,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-04,56.0,56.93,55.94,56.56,7250600,43.8738158377,44.602434565,43.8268081779,44.3125539961,7250600,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-07,56.88,57.11,55.54,55.54,6093200,44.5632615151,44.7434575445,43.513423779,43.513423779,6093200,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-08,56.21,57.48,55.98,57.05,8142700,44.0383426471,45.0333381134,43.8581466177,44.6964498846,8142700,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-09,56.19,57.48,55.75,56.09,9381400,44.0226734271,45.0333381134,43.6779505884,43.9443273274,9381400,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-10,56.09,56.28,55.07,55.91,6413600,43.9443273274,44.0931849169,43.1451971104,43.8033043479,6413600,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-11,55.91,56.59,55.47,55.93,6135400,43.8033043479,44.336057826,43.4585815092,43.8189735679,6135400,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-14,55.42,56.5,55.08,56.23,6194000,43.4194084594,44.2655463362,43.1530317203,44.054011867,6194000,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-15,54.95,55.4,54.53,55.01,6703900,43.0511817907,43.4037392394,42.7221281719,43.0981894506,6703900,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-16,55.28,56.27,54.6,54.6,8403500,43.3097239198,44.0853503069,42.7769704417,42.7769704417,8403500,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-17,54.36,55.54,53.79,55.54,7686000,42.5889398024,43.513423779,42.1423670341,43.513423779,7686000,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-18,54.4,54.88,53.11,54.64,9705200,42.6202782423,42.9963395209,41.6096135561,42.8083088816,9705200,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-22,51.22,52.98,50.32,51.75,16447400,40.1288722715,41.5077636264,39.4237573741,40.5441066,16447400,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-23,50.35,50.43,48.12,49.82,15512200,39.4472612041,39.5099380838,37.7001431805,39.0320268756,15512200,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-24,49.82,50.53,49.28,50.37,11488400,39.0320268756,39.5882841835,38.6089579372,39.462930424,11488400,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-25,50.0,50.2,49.5,49.88,12519600,39.1730498551,39.3297420545,38.7813193565,39.0790345354,12519600,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-28,52.0,52.0,49.59,49.97,13295200,40.7399718493,40.7399718493,38.8518308463,39.1495460252,13295200,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-29,50.78,52.22,50.12,52.22,9873700,39.7841494328,40.9123332686,39.2670651747,40.9123332686,9873700,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-30,50.16,51.3,50.13,50.48,9818900,39.2984036146,40.1915491513,39.2748997847,39.5491111337,9818900,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-01-31,50.84,51.12,49.3226,50.07,8361900,39.8311570926,40.0505261718,38.6423333756,39.2278921249,8361900,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-01,50.1,51.03,49.65,50.36,7346800,39.2513959548,39.9800146821,38.8988385061,39.455095814,7346800,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-04,49.9,50.18,49.79,50.1,4484300,39.0947037554,39.3140728346,39.0085230457,39.2513959548,4484300,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-05,49.4,50.23,49.4,49.72,6981300,38.7029732568,39.3532458844,38.7029732568,38.9536807759,6981300,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-06,49.38,49.81,49.28,49.64,6428300,38.6873040369,39.0241922656,38.6089579372,38.8910038961,6428300,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-07,49.03,49.61,48.66,49.1,6909700,38.4130926879,38.8675000662,38.123212119,38.4679349577,6909700,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-08,48.2,48.86,47.59,48.86,5966200,37.7628200603,38.2799043184,37.2849088521,38.2799043184,5966200,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-11,48.22,48.37,47.39,48.2,6717800,37.7784892802,37.8960084298,37.1282166526,37.7628200603,6717800,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-12,48.27,48.65,47.89,48.48,7282300,37.8176623301,38.115377509,37.5199471512,37.9821891395,7282300,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-13,46.97,47.65,44.0,47.6,29371900,36.7991630339,37.3319165119,34.4722838725,37.292743462,29371900,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-14,46.61,47.1,46.2,46.88,7993500,36.5171170749,36.9010129635,36.1958980661,36.7286515441,7993500,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-15,47.74,47.74,46.34,46.71,8617000,37.4024280016,37.4024280016,36.3055826057,36.5954631746,8617000,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-19,48.08,48.5,47.78,48.27,5411200,37.6688047406,37.9978583594,37.4337664415,37.8176623301,5411200,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-20,48.1,48.18,47.5,48.18,5012100,37.6844739606,37.7471508403,37.2143973623,37.7471508403,5012100,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-21,47.8,48.17,47.7,48.17,4833500,37.4494356614,37.7393162304,37.3710895617,37.7393162304,4833500,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-22,47.36,48.11,46.75,47.5,5900800,37.1047128227,37.6923085706,36.6268016145,37.2143973623,5900800,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-25,47.98,48.15,47.3,47.3,6475100,37.5904586409,37.7236470104,37.0577051629,37.0577051629,6475100,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-26,48.93,48.96,47.5,47.84,7154700,38.3347465882,38.3582504181,37.2143973623,37.4807741013,7154700,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-27,49.17,49.58,48.8,48.8,7392400,38.5227772275,38.8439962363,38.2328966586,38.2328966586,7392400,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-28,48.01,49.09,47.95,48.91,5639700,37.6139624708,38.4601003477,37.566954811,38.3190773682,5639700,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-02-29,46.48,47.7,46.32,47.63,10785100,36.4152671453,37.3710895617,36.2899133857,37.3162472919,10785100,0.0,1.0,hreturn,UNH,Tiingo,daily
2008-03-03,46.35,46.51,45.55,46.47,8229300,36.3134172157,36.4387709752,35.686648418,36.4074325353,8229300,0.0,1.0,hreturn,UNH,Tiingo,daily
