date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,category,ticker,source,resampleFreq
2008-03-19,56.5,69.0,55.0,59.5,177121500,12.4700356584,15.2288931049,12.1389727648,13.1321614456,708486000,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-20,64.35,65.0,57.5,58.47,49746300,14.2025981348,14.346058722,12.6907442541,12.904831592,198985200,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-24,59.73,67.7,59.0,67.24,37391600,13.1829244226,14.9419719305,13.0218071477,14.8404459765,149566400,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-25,63.25,64.25,59.82,60.63,21773000,13.9598186795,14.1805272753,13.2027881962,13.3815621587,87092000,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-26,63.96,64.48,61.57,62.5,10777900,14.1165217825,14.2312902523,13.5890282387,13.7942872327,43111600,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-27,62.91,64.74,62.65,64.05,9957400,13.884777757,14.2886744872,13.8273935221,14.1363855561,39829600,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-28,62.76,63.44,62.16,63.1,6168800,13.8516714676,14.0017533127,13.7192463102,13.9267123902,24675200,0.0,1.0,hreturn,V,Tiingo,daily
2008-03-31,62.36,63.48,62.05,62.7,5539300,13.7633880293,14.0105816565,13.6949683647,13.8384289519,22157200,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-01,61.61,63.68,60.31,63.0,15102700,13.5978565825,14.0547233757,13.3109354081,13.9046415306,60410800,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-02,62.32,62.32,60.5,61.79,10959100,13.7545596855,13.7545596855,13.3528700413,13.6375841298,43836400,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-03,65.5,66.29,61.82,61.93,25217000,14.4564130199,14.6307728105,13.6442053876,13.6684833332,100868000,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-04,64.48,65.32,63.75,64.87,9098600,14.2312902523,14.4166854727,14.0701729774,14.3173666046,36394400,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-07,65.04,65.8,64.02,65.02,7075400,14.3548870659,14.5226255986,14.1297642982,14.350472894,28301600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-08,68.09,68.24,64.81,65.2,13481400,15.0280482828,15.0611545722,14.3041240889,14.3902004412,53925600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-09,65.79,68.72,65.61,68.35,12081100,14.5204185127,15.1670946981,14.4806909654,15.0854325177,48324400,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-10,66.11,66.73,65.11,66.67,5593000,14.5910452633,14.7278845926,14.3703366676,14.7146420769,22372000,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-11,66.11,66.77,65.25,65.25,6605400,14.5910452633,14.7367129365,14.401235871,14.401235871,26421600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-14,65.68,67.24,65.53,66.98,7110900,14.4961405671,14.8404459765,14.4630342778,14.7830617416,28443600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-15,64.35,66.55,64.0,66.54,5972000,14.2025981348,14.6881570454,14.1253501263,14.6859499595,23888000,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-16,66.14,66.95,64.56,65.0,6284200,14.5976665212,14.7764404837,14.2489469399,14.346058722,25136800,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-17,67.04,67.75,66.01,66.47,5614900,14.7963042573,14.9530073603,14.5689744037,14.6705003578,22459600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-18,69.0,70.447,67.2,68.1,26024900,15.2288931049,15.548258443,14.8316176326,15.0302553688,104099600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-21,70.97,72.5,68.85,69.7,14712000,15.6636890385,16.00137319,15.1957868156,15.3833891219,58848000,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-22,70.28,72.4,70.0,72.1,11839400,15.5114001075,15.9793023304,15.4496017007,15.9130897517,47357600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-23,70.08,71.7,69.69,71.15,9329900,15.4672583883,15.8248063134,15.381182036,15.7034165857,37319600,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-24,72.3,72.99,70.04,71.2,9521700,15.9572314708,16.1095204019,15.4584300445,15.7144520155,38086800,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-25,75.1,76.08,73.91,76.0,25365000,16.5752155389,16.7915099627,16.3125723099,16.773853275,101460000,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-28,75.63,77.29,74.9,76.22,33129300,16.6921910946,17.0585673635,16.5310738197,16.8224091661,132517200,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-29,80.88,80.88,71.0,73.28,49327100,17.8509112221,17.8509112221,15.6703102964,16.1735258946,197308400,0.0,1.0,hreturn,V,Tiingo,daily
2008-04-30,83.45,84.81,81.07,81.21,36885900,18.4181323131,18.7182960033,17.8928458553,17.9237450587,147543600,0.0,1.0,hreturn,V,Tiingo,daily
2008-05-01,85.4,87.64,83.9,84.68,29098900,18.8485140748,19.3429013292,18.5174511812,18.6896038859,116395600,0.0,1.0,hreturn,V,Tiingo,daily
2008-05-02,82.75,87.5,81.0,87.25,34162200,18.2636362961,19.3120021258,17.8773962536,19.2568249769,136648800,0.0,1.0,hreturn,V,Tiingo,daily
2008-05-05,85.06,85.5,80.82,82.85,17594300,18.7734731523,18.8705849344,17.8376687064,18.2857071557,70377200,0.0,1.0,hreturn,V,Tiingo,daily
2008-05-06,87.53,88.15,84.75,85.39,18978300,19.3186233837,19.455462713,18.7050534876,18.8463069889,75913200,0.0,1.0,hreturn,V,Tiingo,daily
